VARIABLE NAME,DESCRIPTION,SAS ANALYSIS FORMAT,SAS SYSTEM DATA LENGTH,SAS FORMAT,FORM,VAR START DATE,VAR END DATE,FORM SECTION,DATA TYPE,INTERPRETATION_TYPE,Delete When,nas,VARIABLE LABEL IN SAS DATA,COMMENT 
INIT_PRIORITY,INITIAL PEDIATRIC LUNG PRIORITY,,8,,CALCULATED,,,,NUM,CHAR,,,,
INIT_RLU_FLG,LUNG PREFERENCE AT LISTING - RIGHT (1=Y),,8,1,WAITING LIST DATA,1-Mar-95,,WAITING LIST DATA,NUM,CHAR,,,LUNG PREFERENCE AT LISTING - RIGHT (1=Y),
INIT_STAT,INITIAL WAITING LIST STATUS CODE,STAT,4,4,WAITING LIST DATA,1-Jan-90,,WAITING LIST DATA,NUM,CHAR,,,INITIAL WAITING LIST STATUS CODE,
INIT_WGT_KG_CALC,Calculated Candidate Weight in KG at Listing,,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Candidate Weight in KG at Listing,
INO_PROCURE_AGENT_1,DECEASED DONOR-INOTROPIC MEDICATION AGENT 1,INOTROP,8,,DDR,27-Jan-03,,CLINICAL INFORMATION,NUM,CHAR,,,"DDR INOTROPIC AGENT 1, AT PROCUREMENT",
INO_PROCURE_AGENT_2,DECEASED DONOR-INOTROPIC MEDICATION AGENT 2,INOTROP,8,,DDR,27-Jan-03,,CLINICAL INFORMATION,NUM,CHAR,,,"DDR INOTROPIC AGENT 2, AT PROCUREMENT",
INO_PROCURE_AGENT_3,DECEASED DONOR-INOTROPIC MEDICATION AGENT 3,INOTROP,8,,DDR,27-Jan-03,,CLINICAL INFORMATION,NUM,CHAR,,,"DDR INOTROPIC AGENT 3, AT PROCUREMENT",
INO_PROCURE_OSTXT_1,"DECEASED DONOR-INOTROPIC MEDICATION AGENT 1, SPECIFY",,40,,DDR,27-Jan-03,,CLINICAL INFORMATION,CHAR,CHAR,,,"DDR INOTROPIC AGENT 1 OSTXT, AT PROCUREMENT",
INO_PROCURE_OSTXT_2,"DECEASED DONOR-INOTROPIC MEDICATION AGENT 2, SPECIFY",,40,,DDR,27-Jan-03,,CLINICAL INFORMATION,CHAR,CHAR,,,"DDR INOTROPIC AGENT 2 OSTXT, AT PROCUREMENT",
INO_PROCURE_OSTXT_3,"DECEASED DONOR-INOTROPIC MEDICATION AGENT 3, SPECIFY",,40,,DDR,27-Jan-03,,CLINICAL INFORMATION,CHAR,CHAR,,,"DDR INOTROPIC AGENT 3 OSTXT, AT PROCUREMENT",
INOTROP_SUPPORT_DON,DECEASED DONOR INOTROPIC MEDICATION AT PROCUREMENT (Y/N),,1,$1.00 ,DDR,27-Jan-03,,CLINICAL INFORMATION,CHAR,CHAR,0,998,DDR INOTROPIC MEDICATION AT PROCUREMENT,"For Heart, this field was collected since 10/25/1999."
INOTROP_VASO_CO_TCR,MOST RECENT CO L/MIN INOTROPES/VASODILATORS YES/NO AT LISTING,,1,$1 ,TCR,30-Jun-04,,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,,,TCR MOST RECENT CO L/MIN INOTROPES/VASODILATORS YES/NO AT LISTING,
INOTROP_VASO_CO_TRR,TRR CARDIAC OUTPUT MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,,,$1.00 ,TRR,25-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR CARDIAC OUTPUT MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,
INOTROP_VASO_DIA_TCR,MOST RECENT PA (DIA) MM/HG INOTROPES/VAOSDILATORS YES/NO AT LISTING,,1,$1 ,TCR,30-Jun-04,,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,,,TCR MOST RECENT PA (DIA) L/MIN INOTROPES/VASODILATORS YES/NO AT LISTING,
INOTROP_VASO_DIA_TRR,TRR DIASTOLIC MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,,,$1.00 ,TRR,26-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR DIASTOLIC MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,
INOTROP_VASO_MN_TCR,MOST RECENT PA (MEAN) MM/HG INOTROPES/VASODILATORS YES/NO AT LISTING,,1,$1 ,TCR,30-Jun-04,,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,,,TCR MOST RECENT PA (MEAN) L/MIN INOTROPES/VASODILATORS YES/NO AT LISTING,
INOTROP_VASO_MN_TRR,TRR MEAN PULMONARY ARTERY MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,,,$1.00 ,TRR,27-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR MEAN PULMONARY ARTERY MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,
INOTROP_VASO_PCW_TCR,MOST RECENT PCW (MEAN) MM/HG INOTROPES/VASODILATORS YES/NO AT LISTING,,1,$1 ,TCR,30-Jun-04,,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,,,TCR MOST RECENT PCW (MEAN) L/MIN INOTROPES/VASODILATORS YES/NO AT LISTING,
INOTROP_VASO_PCW_TRR,TRR MEAN PULMONARY CAPILLARY WEDGE MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,,,$1.00 ,TRR,28-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR MEAN PULMONARY CAPILLARY WEDGE MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N ,
INOTROP_VASO_SYS_TCR,Most Recent PA (sys) mm/Hg   Inotropes/Vasodilators YES/NO AT LISTING,,1,$1.00 ,TCR,25-Oct-99,,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,,,TCR PA (SYS) MM/HG  INOTROPES/VASODILATORS,
INOTROP_VASO_SYS_TRR,TRR SYSTOLIC MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N,,,$1.00 ,TRR,29-Oct-99,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR SYSTOLIC MEASUREMENT OBTAINED WHILE ON INOTROPES OR VASODILATERS Y/N,
INOTROPES_TCR,IV INOTROPES @ REGISTRATION,,8,1,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR LIFE SUPPORT IV INOTROPES,
INOTROPES_TRR,IV INOTROPES @ TRANSPLANT,,8,1,TRR,1-Apr-94,,PATIENT STATUS,NUM,CHAR,,,TRR LIFE SUPPORT IV INOTROPES,
INOTROPIC,WL CANDIDATE ON INOTROPIC DRUGS,,1,$1 ,WL,,,WAITING LIST DATA,CHAR,CHAR,,,WL CANDIDATE ON INOTROPIC DRUGS,
INSULIN_DON,DECEASED DONOR-WAS DONOR GIVEN INSULIN WITHIN 24 HRS PRE CROSS CLAMP?,,1,$1.00 ,DDR,30-Jun-04,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR:Insulin:,
INSULIN_DUR_DON,DECEASED DONOR-INSULIN DEPENDENT DIABETES DURATION,INSDEPDU,8,,DDR,1-Apr-94,,DONOR HISTORY,NUM,CHAR,,,DDR INSULIN DURATION,UNROLLED FROM INSULIN_DUR_DON TO INCLUDE DURATION OF DEPENDENCE
INTRACRANIAL_CANCER_DON,DECEASED DONOR-INTRACANIAL CANCER AT PROCUREMENT,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR INTRACANIAL CANCER AT PROCUREMENT,
INTUBATED_72HOURS,Recipient Intubated at 72 Hours,,2,$2 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR Intubated at 72 Hours,
INUTERO,WL CANDIDATE IS INUTERO PATIENT?,,1,$1.00 ,WL,30-Jun-04,,WAITING LIST DATA,CHAR,CHAR,,,WL CANDIDATE IS INUTERO PATIENT?,
ISCHTIME,ISCHEMIC TIME IN HOURS,,3,3.1,CALCULATED,,,,NUM,NUM,,,ISCHEMIC TIME (HOURS),
LAST_INACT_REASON,Candidate Reason for Last Inactive Status,,8,,,,,,NUM,CHAR,,,Candidate Reason for Last Inactive Status,
LASTFUNO,LAST FOLLOWUP NUMBER,,8,,CALCULATED,,,,NUM,D,,,LAST FOLLOW-UP NUMBER,
LEFT_VENT_REMODEL_OLD,LEFT VENTRICULAR REMODELING OCCURRING BEFORE LISTING,,1,$1.00 ,TCR,25-Oct-99,30-Jun-04,CLINICAL INFORMATION,CHAR,CHAR,U,U,TCR LEFT VENTRICULAR REMODELING PRIOR TO LISTING,
LIFE_SUP_TCR,CANDIDATE LIFE SUPPORT @ REGISTRATION,,1,$1.00 ,CALCULATED TCR,1-Oct-87,,CANDIDATE INFORMATION,CHAR,CHAR,,,Patient on Life Support (including VAD for HR & HL),
LIFE_SUP_TRR,RECIPIENT LIFE SUPPORT PRE-TRANSPLANT   @ TRANSPLANT,,1,$1.00 ,CALCULATED TRR,1-Oct-87,,PATIENT STATUS,CHAR,CHAR,,,TRR PATIENT ON LIFE SUPPORT,
LISTING_CTR_CODE,ENCRYPTED WL LISTING CENTER,,8,$8.00 ,CALCULATED,,,,CHAR,CHAR,,,,
LISTYR,ACTUAL YEAR REGISTRANT LISTED (WITHOUT DATE OFFSET),,8,,CALCULATED,1-Oct-87,,,NUM,D,,,ACTUAL YEAR REGISTRANT LISTED (WITHOUT DATE OFFSET),
LIV_DON_TY,LIVING DONOR RELATION TO RECIPIENT,LDONREL,8,6,LDR,1-Apr-94,,DONOR INFORMATION,NUM,CHAR,,,LDR LIVING DONOR TYPE,See Main Documentation tab for more information about Living Donor Lung Transplants and LIVING DONOR for LIV_DON_TY_OSTXT field
LOS,RECIPIENT LENGTH OF STAY POST TX,,8,,TRR-CALCULATED,25-Oct-99,,"PATIENT STATUS(PRIORITY KIDNEY,THEN PANCREAS TRR)",NUM,D,,,LENGTH OF STAY TX TO DISCHARGE - POST UNET,
LT_ONE_WEEK_DON,Donor Less Than 7 Days Old at Time of Donation,,1,$1.00 ,CALCULATED,13-Sep-16,,,CHAR,CHAR,,,,
LV_EJECT,DECEASED DONOR LV EJECTION FRACTION %,,8,10.2,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,NUM,NUM,,,DON LV EJECTION FRACTION %,
LV_EJECT_METH,"DECEASED DONOR LV EJECTION FRACTION METHOD: ECHO, MUGA, ANGIOGRAM",LVEJECTM,8,6,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,NUM,CHAR,,,DON METHOD,
LVAD_AT_LISTING,LVAD AT LISTING,,8,,WL DATA,,,,NUM,CHAR,,,LVAD AT LISTING,
LVAD_WHILE_LISTED,LVAD IMPLANTED DURING LISTING,,8,,WL DATA,,,,NUM,CHAR,,,LVAD IMPLANTED DURING LISTING,
MALIG,ANY PREVIOUS MALIGNANCY?,,1,,CALCULATED,,,,CHAR,CHAR,U,U,CALCULATED: ANY PREVIOUS MALIGNANCY?,
MALIG_TCR,ANY PREVIOUS MALIGNANCY (EXCLUDE NON-MELANOMA SKIN CANCER) @ REGISTRATION,,1,$1.00 ,TCR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,TCR ANY PREVIOUS MALIGNANCY,
MALIG_TRR,RECIPIENT ANY KNOWN MALIGNANCIES SINCE LISTING  @ TRANSPLANT,,1,$1.00 ,TRR,25-Oct-99,31-Mar-15,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR ANY KNOW MALIGNANCY SINCE LISTING: PRE 3/31/2015,
MALIG_TY,PREVIOUS MALIGNANCY TYPE,MALMULTIPED,8,,CALCULATED,,,,NUM,CHAR,,,CALCULATED: ANY PREVIOUS MALIGNANCY TYPE,
MALIG_TY_OSTXT,PREVIOUS MALIGNANCY TYPE TEXT,,50,,CALCULATED,,,,CHAR,CHAR,,,CALCULATED: ANY PREVIOUS MALIGNANCY TEXT,
MALIG_TY_OSTXT_TCR,TCR MALIGNANCY TYPE TEXT,,50,$50.00 ,TCR,,,,CHAR,CHAR,,,TCR Previous Malignancy Type - Other Specified,
MALIG_TY_OSTXT_TRR,TRR MALIGNANCY TYPE TEXT,,50,$50.00 ,TRR,30-Jun-04,31-Mar-15,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR MALIG. TYPE TEXT: PRE 3/31/2015,
MALIG_TY_TCR,TYPE OF PREVIOUS MALIGNANCY,MALMULTIPED,8,6,TCR,,,,NUM,CHAR,,,TCR Previous Malignancy Type,
MALIG_TY_TRR,TYPE OF MALIGNANCY BETWEEN LISTING AND TRANSPLANT,MALMULTIPED,8,6,TRR,30-Jun-04,31-Mar-15,PRETRANSPLANT CLINICAL INFORMATION,NUM,CHAR,,,TRR MALIG TYPE: PRE 3/31/2015,
MAP_INIT_DON,DDR:MAP (initial) //Map: (mm/Hg),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:MAP (initial) //Map: (mm/Hg),
MAP_POST_DON,DDR:MAP (final) //Map:,,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:MAP (final) //Map:,
MEASUREMENT_DATE_TRR,TRR MEASUREMENT DATE (PEDIATRIC),,8,MMDDYY10.,TRR,1-Mar-08,,PRETRANSPLANT CLINICAL INFORMATION,NUM,D,,,TRR DATE OF MEASUREMENT,
MED_COND_TRR,RECIPIENT MEDICAL CONDITION PRE-TRANSPLANT   @ TRANSPLANT,MEDCOND,8,6,TRR,1-Oct-87,,PATIENT STATUS,NUM,CHAR,,,TRR MEDICAL CONDITION,
MOST_RCNT_CREAT,PATIENT MOST RECENT ABSOLUTE CREATININE AT LISTING,,8,10.2,TCR,25-Oct-99,1-Jan-07,CLINICAL INFORMATION,NUM,NUM,,,TCR MOST RECENT CREAT.,Collection ended 1/1/07 for Lung (see INIT_CREAT & END_CREAT instead) 
MOTOR_DEV_TRR,TRR MOTOR DEVELOPMENT (PEDIATRIC),MOTOR_DEV,8,6,TRR,1-Mar-08,,PATIENT STATUS,NUM,CHAR,,,TRR MOTOR DEVELOPMENT,
MULTIORG,MULTI-ORGAN TRANSPLANT,,1,,CALCULATED,,,,CHAR,CHAR,,,MULTI-ORGAN TRANSPLANT,
NON_HRT_DON,DECEASED DONOR-NON-HEART BEATING DONOR,,1,$1.00 ,DDR,1-Apr-94,,ORGAN RECOVERY,CHAR,CHAR,,,DDR NON-HEART BEATING,
NUM_PREV_TX,THE NUMBER OF PREVIOUS TRANSPLANTS,,8,3,WAITING LIST DATA,1-Oct-87,,WAITING LIST DATA,NUM,NUM,,,NUMBER PREVIOUS TX,
O2_REQ_CALC,O2 REQUIREMENT AT REST AT TRR/Offer/Removal/Current Time,,8,,CALCULATED,,,,NUM,D,,,O2 REQUIREMENT AT REST AT TRR/Offer/Removal/Current Time,
ONVENT,WL CANDIDATE ON VENTILATOR,,1,$1 ,WL,,,WAITING LIST DATA,CHAR,CHAR,,,WL CANDIDATE ON VENTILATOR,
OPO_CTR_CODE,ENCRYPTED OPO CENTER CODE,,8,,CALCULATED,,,,CHAR,CHAR,,,,
ORGAN,ORGAN TYPE TRANSPLANTED,,2,,CALCULATED,,,,CHAR,CHAR,,,Organ Transplanted,
OTH_DGN_OSTXT,DECEASED DONOR BIOPSY PERFORMED: YES OTHER DIAG. SPECIFY.,,50,$50.00 ,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,CHAR,CHAR,,,DON OTHER DIAGNOSIS/SPECIFY,
OTH_DON_MED1_OSTXT_DON_OLD,DECEASED DONOR OTHER MEDICATIONS1 W/IN 24 HRS PRE-CROSS CLAMP,,50,$50.00 ,DDR,1-Apr-94,27-Jan-03,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER MEDICATIONS1 PRE CROSS CLAMP,
OTH_DON_MED2_OSTXT_DON_OLD,DECEASED DONOR OTHER MEDICATIONS2 W/IN 24 HRS PRE-CROSS CLAMP,,50,$50.00 ,DDR,1-Apr-94,27-Jan-03,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER MEDICATIONS2 PRE CROSS CLAMP,
OTH_DON_MED3_OSTXT_DON_OLD,DECEASED DONOR OTHER MEDICATIONS3 W/IN 24 HRS PRE-CROSS CLAMP,,50,$50.00 ,DDR,1-Apr-94,27-Jan-03,CLINICAL INFORMATION,CHAR,CHAR,,,DDR OTHER MEDICATIONS3 PRE CROSS CLAMP,
OTH_LIFE_SUP_OSTXT_TCR,OTHER MECHANISM OF LIFE SUPPORT SPECIFY TEXT @ REGISTRATION,,50,$50.00 ,TCR,1-Apr-94,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR LIFE SUPPORT OTHER (SPECIFY),
OTH_LIFE_SUP_OSTXT_TRR,OTHER MECHANISM OF LIFE SUPPORT SPECIFY TEXT @ TRANSPLANT,,50,$50.00 ,TRR,1-Oct-90,,PATIENT STATUS,CHAR,CHAR,,,TRR OTHER LIFE SUPPORT (SPECIFY),
OTH_LIFE_SUP_TCR,"OTHER MECHANISM OF LIFE Y/N, 1=Y @ REGISTRATION",,8,1,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR LIFE SUPPORT OTHER,
OTH_LIFE_SUP_TRR,"OTHER MECHANISM OF LIFE Y/N, 1=Y @ TRANSPLANT",,8,1,TRR,1-Oct-90,,PATIENT STATUS,NUM,CHAR,,,TRR OTHER LIFE SUPPORT,
OTHER_HYPERTENS_MED_DON,DECEASED DONOR-HYPERTENSION CONTROLLED BY NON-DIURETIC MEDS,,1,$1.00 ,DDR,1-Apr-94,,DONOR HISTORY,CHAR,CHAR,U,U,DDR HYPERTENSIVE MEDS-NOT DIURETIC,
OTHER_INF_CONF_DON,DECEASED DONOR INFECTION OTHER SOURCE-CONFIRMED,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR INFECTION OTHER SOURCE-CONFIRMED,
OTHER_INF_DON,DECEASED DONOR INFECTION OTHER SOURCE,,8,1,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,CHAR,,,DDR INFECTION OTHER SOURCE,
OTHER_INF_OSTXT_DON,"DECEASED DONOR INFECTION OTHER SOURCE, SPECIFIED",,50,$50.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR INFECTION OTHER SOURCE TEXT,
PAO2_72HOURS,Recipient PaO2 at 72 Hours,,2,$2 ,TRR,31-Mar-15,,CLINICAL INFORMATION,CHAR,CHAR,,,TRR PaO2 at 72 Hours,
PCO2_DON,DDR:pCO2:,,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR:pCO2:,
PCO2_TRR,PULMONARY STATUS: PCO2 MM/HG @ TRANSPLANT,,8,10.2,TRR,1-Apr-94,,PRETRANSPLANT CLINICAL INFORMATION,NUM,NUM,,,TRR PCO2 MM/HG,
PCWP_INIT_DON,DDR PCWP PA CATHETER FINAL (MM/HG),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR PCWP PA CATHETER FINAL (MM/HG),
PCWP_POST_DON,DDR PCWP PA CATHETER FINAL (MM/HG),,8,7.2,DDR,30-Jun-04,,ORGAN RECOVERY,NUM,NUM,,,DDR PCWP PA CATHETER FINAL (MM/HG),
PERM_STATE,RECIPIENT STATE OF RESIDENCY  @ REGISTRATION,$STATE,2,$2.00 ,TCR,1-Oct-97,,CANDIDATE INFORMATION,CHAR,CHAR,ZZ,ZZ,TCR STATE OF RESIDENCY,
PERM_STATE_TRR,RECIPIENT STATE OF RESIDENCY  @ TRANSPLANT,$STATE,2,$2.00 ,TRR,30-Jun-04,,CANDIDATE INFORMATION,CHAR,CHAR,ZZ,ZZ,TRR STATE OF RESIDENCY,
PGE_TCR,PATIENT ON LIFE SUPPORT: PGE @ REGISTRATION,,8,1,TCR,1-Apr-95,30-Jun-04,CANDIDATE INFORMATION,NUM,CHAR,,,TCR LIFE SUPPORT PGE,
PGE_TRR,PATIENT ON LIFE SUPPORT: PGE @ TRANSPLANT,,8,1,TRR,1-Apr-95,,PATIENT STATUS,NUM,CHAR,,,TRR PGE,
PH_DON,DDR:Blood PH:,,8,7.2,DDR,30-Jun-04,,CLINICAL INFORMATION,NUM,NUM,,,DDR:Blood PH:,
PNEUMORED_OLD,CANDIDATE PNEUMOREDUCTION PRIOR TO LISTING,,1,$1 ,TCR,,30-Jun-04,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,U,U,TCR PNEUOREDUCTION PRIOR TO LISTING (PRE 6/30/2004),
PNEUMOTHORAX_OLD,CANDIDATE PNEUMOTHORAZ PRIOR TO LISTING,,1,$1 ,TCR,,30-Jun-04,HEART/LUNG MEDICAL FACTORS,CHAR,CHAR,U,U,TCR PNEUMOTHORAX PRIOR TO LISTING (PRE 6/30/2004),
PO2, DECEASED DONOR PO2 ON 100%,,8,10.2,DDR,25-Oct-99,,ORGAN RECOVERY,NUM,NUM,,,DON LUNG PO2 ON 100%,
PO2_DONE_DON,DDR:Lung - Was pO2 done:,,1,1,DDR,25-Oct-99,,ORGAN RECOVERY,CHAR,CHAR,,,DDR:Lung - Was pO2 done:,
PO2_FIO2_DON,"DDR:Lung pO2 on Fio2 //If Yes, Lung pO2 on FiO2 of:",,8,20.2,DDR,25-Oct-99,,ORGAN RECOVERY,NUM,NUM,,,"DDR:Lung pO2 on Fio2 //If Yes, Lung pO2 on FiO2 of:",
POST_TX_VENT_SUPPORT,RECIPIENT VENTILATOR SUPPORT POST TRANSPLANT,VENTSUPP,8,6,TRR,30-Jun-04,,POST TRANSPLANT CLINICAL INFORMATION,NUM,D,,,TRR Ventilator Support,
PRAMR,RECIPIENT MOST RECENT PRA% @ TRANSPLANT,,8,,RH,1-Oct-87,29-Jun-04,PANEL REACTIVE ANTIBODY(%PRA),NUM,NUM,,,RH MOST RECENT PRA PERCENT: PRE 6/30/2004,
PRAMR_CL1,RECIPIENT MOST RECENT PRA% CLASS I @ TRANSPLANT ,,8,10.2,RH,30-Jun-04,31-Mar-15,RECIPIENT HLA TYPING,NUM,NUM,,,TRR RECIPIENT MOST RECENT PRA% CLASS I,
PRAMR_CL2,RECIPIENT MOST RECENT PRA% CLASS II @ TRANSPLANT ,,8,10.2,RH,30-Jun-04,31-Mar-15,RECIPIENT HLA TYPING,NUM,NUM,,,TRR RECIPIENT MOST RECENT PRA% CLASS II,
PRAPK,RECIPIENT PEAK PRA% @ TRANSPLANT,,8,,RH,1-Oct-87,29-Jun-04,PANEL REACTIVE ANTIBODY(%PRA),NUM,NUM,,,RH PEAK PRA PERCENT: PRE 6/30/2004,
PRAPK_CL1,RECIPIENT PEAK PRA% CLASS I @ TRANSPLANT ,,8,10.2,RH,30-Jun-04,31-Mar-15,RECIPIENT HLA TYPING,NUM,NUM,,,TRR RECIPIENT PEAK PRA% CLASS I,
PRAPK_CL2,RECIPIENT PEAK PRA% CLASS II @ TRANSPLANT ,,8,10.2,RH,30-Jun-04,31-Mar-15,RECIPIENT HLA TYPING,NUM,NUM,,,TRR RECIPIENT PEAK PRA% CLASS II,
PRETREAT_MED_DON_OLD,DECEASED DONOR PRE-RECOVERY MEDICATION(S) FROM BRAIN DEATH TO 24 HRS PRIOR TO PROCUREMENT,,1,$1.00 ,DDR,1-Apr-94,27-Jan-03,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR PRERECOVERY MEDICATION (Y/N),
PREV_TX,HISTORY of a PREVIOUS TRANSPLANT INVOLVING EXACT SAME ORGAN AS CURRENT TX,,2,,CALCULATED,,,,CHAR,CHAR,,,PREVIOUS TRANSPLANT WITH THE SAME ORGAN TYPE,
PRI_PAYMENT_CTRY_TCR,RECIPIENT FOREIGN GOV'T AS PROJECTED SECONDARY PAYMENT TYPE @ REGISTRATION,$CTRY,3,$3.00 ,TCR,1-Apr-94,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR OTHER GOVT'PAYMENT TEXT,
PRI_PAYMENT_CTRY_TRR,RECIPIENT FOREIGN GOV'T AS SECONDARY PAYMENT SOURCE @ TRANSPLANT,$CTRY,3,$3.00 ,TRR,1-Apr-94,,PATIENT STATUS,CHAR,CHAR,,,TRR PRIMARY/SPECIFY,
PRI_PAYMENT_TCR,RECIPIENT PRIMARY PROJECTED PAYMENT TYPE @ REGISTRATION,PRIMPAY,8,6,TCR,1-Apr-94,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR PRIMARY PROJECTED SOURCE PAY,
PRI_PAYMENT_TRR,RECIPIENT PRIMARY PAYMENT SOURCE @ TRANSPLANT,PRIMPAY,8,6,TRR,1-Apr-94,,PATIENT STATUS,NUM,CHAR,,,TRR PRIMARY SOURCE OF PAYMENT,too many NAS
PRIOR_CARD_SURG_TCR,TCR PRIOR CARDIAC SURGERY AT LISTING (NON-TRANSPLANT),,1,$1.00 ,TCR,,,CLINICAL INFORMATION,CHAR,CHAR,,,TCR PRIOR CARDIAC SURGERY (NON-TRANSPLANT),
PRIOR_CARD_SURG_TRR,TRR CARDIAC SURGERY BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),,1,$1.00 ,TRR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR CARDIAC SURGERY BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),
PRIOR_CARD_SURG_TYPE_OSTXT_TCR,TCR PRIOR CARDIAC SURGERY TYPE OTHER SPECIFIED  AT LISTING (NON-TRANSPLANT),,50,$50.00 ,TCR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TCR Prior Cardiac Surgery Type: Other Specified,
PRIOR_CARD_SURG_TYPE_OSTXT_TRR,TRR CARDIAC SURGERY TYPE OTHER SPECIFIED BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),,50,$50.00 ,TRR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR CARDIAC SURGERY TYPE TEXT BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),
PRIOR_CARD_SURG_TYPE_TCR,TRR PRIOR CARDIAC SURGERY TYPE AT LISTING (NON-TRANSPLANT),CARDSURG,8,6,TCR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TCR Prior Cardiac Surgery Type ,
PRIOR_CARD_SURG_TYPE_TRR,TRR CARDIAC SURGERY TYPE BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),CARDSURG,8,6,TRR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR CARDIAC SURGERY TYPE BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),
PRIOR_LUNG_SURG_TRR,TRR LUNG SURGERY BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),,1,$1.00 ,TRR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,U,U,TRR LUNG SURGERY BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),
PRIOR_LUNG_SURG_TYPE_OSTXT_TRR,TRR LUNG SURGERY TYPE OTHER SPECIFIED BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),,50,$50.00 ,TRR,,,PRETRANSPLANT CLINICAL INFORMATION,CHAR,CHAR,,,TRR LUNG SURGERY TYPE TEXT BETWEEN LISTING AND TRANSPLANT (NON-TRANSPLANT),
